"STATION","NAME","DATE","TMAX","TMIN"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-01","43","25"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-02","29","20"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-03","30","28"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-04","29","12"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-05","28","5"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-06","31","26"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-07","28","-3"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-08","13","-6"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-09","24","2"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-10","33","13"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-11","34","17"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-12","34","17"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-13","24","-1"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-14","0","-13"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-15","-4","-17"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-16","8","-17"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-17","8","-13"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-18","-12","-21"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-19","1","-21"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-20","10","-8"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-21","22","-4"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-22","32","21"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-23","43","27"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-24","38","22"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-25","32","23"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-26","24","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-27","33","20"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-28","32","23"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-29","24","14"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-30","19","6"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-01-31","11","-3"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-01","12","-6"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-02","21","5"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-03","16","-2"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-04","18","7"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-05","25","10"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-06","28","10"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-07","14","2"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-08","16","4"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-09","17","1"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-10","20","0"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-11","27","0"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-12","26","18"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-13","31","14"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-14","42","13"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-15","43","27"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-16","44","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-02-17","50","34"
