"TSF","species","height","low","high","scenario","Scenario","filter"
2,"Pima",4.05368444465456,3.98804476729461,4.10945403561706,"CPCRW_hare","Hare","All stands"
2,"Potr",0.422428555567475,0.176444775107152,0.797740724096623,"CPCRW_hare","Hare","All stands"
3,"Pigl",0.0940442778298791,0.0937994111125922,0.0942889656188615,"CPCRW_hare","Hare","All stands"
3,"Pima",0.282430178568954,0.175094341610368,0.41271680648663,"CPCRW_hare","Hare","All stands"
3,"Potr",0.370301317410647,0.303667279015321,0.461318113269388,"CPCRW_hare","Hare","All stands"
4,"Pigl",0.109921633756714,0.107892682832955,0.113349210528461,"CPCRW_hare","Hare","All stands"
4,"Pima",0.259402836104814,0.186578910524579,0.332358915932596,"CPCRW_hare","Hare","All stands"
4,"Potr",0.452846888336001,0.406102607050125,0.510217628917821,"CPCRW_hare","Hare","All stands"
5,"Bene",0.146789155900479,0.137308120727539,0.156270191073418,"CPCRW_hare","Hare","All stands"
5,"Pigl",0.124579413263121,0.122529695511405,0.128016314269459,"CPCRW_hare","Hare","All stands"
5,"Pima",0.243640025649971,0.189153632369991,0.30432208930828,"CPCRW_hare","Hare","All stands"
5,"Potr",0.579836827544834,0.535687224693155,0.630722642312167,"CPCRW_hare","Hare","All stands"
6,"Bene",3.80775708259088,3.21851892752531,4.22637736902164,"CPCRW_hare","Hare","All stands"
6,"Pigl",0.142309916082943,0.140328438672017,0.14555828476864,"CPCRW_hare","Hare","All stands"
6,"Pima",0.244507578268446,0.200745508741364,0.294948928213988,"CPCRW_hare","Hare","All stands"
6,"Potr",0.677152204582163,0.636461233637132,0.720526655804889,"CPCRW_hare","Hare","All stands"
7,"Bene",4.46549668401108,4.2695699869049,4.63111016141299,"CPCRW_hare","Hare","All stands"
7,"Pigl",0.160787804452128,0.158618733285489,0.163763899233326,"CPCRW_hare","Hare","All stands"
7,"Pima",0.253734728249171,0.214729050651388,0.295981719903365,"CPCRW_hare","Hare","All stands"
7,"Potr",0.844877157197548,0.800150862924523,0.892368747160065,"CPCRW_hare","Hare","All stands"
8,"Bene",4.56914478989895,4.35828421280576,4.75601772692279,"CPCRW_hare","Hare","All stands"
8,"Pigl",0.182159047294398,0.179666198631681,0.185787869750903,"CPCRW_hare","Hare","All stands"
8,"Pima",0.266502890637292,0.232146747419388,0.306580973645996,"CPCRW_hare","Hare","All stands"
8,"Potr",1.00989448182596,0.962651464639318,1.06384558177552,"CPCRW_hare","Hare","All stands"
9,"Bene",4.82059196942056,4.63181410491019,4.9783382000448,"CPCRW_hare","Hare","All stands"
9,"Pigl",0.203020036346861,0.20038053466439,0.206688377835503,"CPCRW_hare","Hare","All stands"
9,"Pima",0.259249854163851,0.22998379619548,0.289484801085748,"CPCRW_hare","Hare","All stands"
9,"Potr",1.32512290799053,1.26285868992917,1.38991133143993,"CPCRW_hare","Hare","All stands"
10,"Bene",4.99631078176887,4.79459069734157,5.19884174090324,"CPCRW_hare","Hare","All stands"
10,"Pigl",0.224514884218119,0.221630456930611,0.228086656588215,"CPCRW_hare","Hare","All stands"
10,"Pima",0.265865175798302,0.240821204369356,0.292704458143591,"CPCRW_hare","Hare","All stands"
10,"Potr",1.79358367417644,1.71393976068577,1.87065554219992,"CPCRW_hare","Hare","All stands"
11,"Bene",5.21141833455825,4.95216395006836,5.43782830934146,"CPCRW_hare","Hare","All stands"
11,"Pigl",0.252048736594222,0.248788618276684,0.255885033339789,"CPCRW_hare","Hare","All stands"
11,"Pima",0.28656330811226,0.263677816405415,0.312012279155082,"CPCRW_hare","Hare","All stands"
11,"Potr",1.95117225563117,1.87216857816245,2.03346231635294,"CPCRW_hare","Hare","All stands"
12,"Bene",5.45742288700771,5.20556100077065,5.7001098575372,"CPCRW_hare","Hare","All stands"
12,"Pigl",0.284410799380241,0.280868835678152,0.288349278398913,"CPCRW_hare","Hare","All stands"
